time,ps,pl,ard1,ard2,ard3,ard4,ard5
09170421,30.00,28.82,26.0,24.5,23.5,21.5,20.5
09170431,30.62,28.59,26.0,24.5,23.75,21.75,20.5
09170441,28.91,28.40,26.0,24.5,23.75,21.75,20.5
09170451,30.29,28.16,26.0,24.5,23.75,21.75,20.5
09170501,29.98,28.31,26.0,24.75,23.75,21.75,20.5
09170511,29.77,28.45,26.0,24.5,23.75,21.75,20.5
09170521,30.53,28.46,26.25,24.75,23.75,21.75,20.5
09170531,29.93,28.33,26.25,24.75,23.75,21.75,20.5
09170541,29.26,28.66,26.25,24.75,23.75,21.75,20.5
09170551,28.86,28.21,26.25,24.75,23.75,22.0,20.5
09170601,29.75,28.40,26.25,24.75,23.75,22.0,20.5
09170611,29.66,27.93,26.25,24.75,24.0,22.0,20.75
09170621,29.20,28.09,26.25,24.75,24.0,22.0,20.5
09170631,29.58,28.33,26.25,25.0,24.0,22.0,20.75
09170641,29.20,28.57,26.25,25.0,24.0,22.0,20.75
09170651,29.67,28.44,26.5,25.0,24.0,22.25,20.75
09170701,29.64,28.76,26.25,25.0,24.0,22.25,20.75
09170711,29.72,28.67,26.25,25.0,24.0,22.25,20.75
09170721,29.60,28.52,26.5,25.0,24.0,22.25,20.75
09170731,29.38,28.39,26.5,25.0,24.0,22.25,20.75
09170741,30.04,28.48,26.5,25.0,24.25,22.5,20.75
09170751,29.57,28.47,26.5,25.0,24.25,22.25,20.75
09170801,29.69,28.38,26.5,25.0,24.25,22.5,21.0
09170811,29.75,28.53,26.5,25.0,24.25,22.5,21.0
09170821,30.53,28.71,26.5,25.0,24.25,22.5,21.0
09170831,29.03,28.64,26.5,25.25,24.25,22.5,21.0
09170841,29.78,28.77,26.5,25.25,24.25,22.5,21.0
09170851,30.41,28.61,26.75,25.0,24.25,22.5,21.0
09170901,30.04,28.43,26.75,25.25,24.25,22.5,21.0
09170911,28.97,28.79,26.75,25.25,24.25,22.5,21.0
09170921,30.70,28.55,26.75,25.25,24.25,22.5,21.0
09170931,28.62,28.51,26.75,25.25,24.5,22.75,21.0
09170941,30.07,28.91,26.75,25.25,24.5,22.75,21.25
09170952,29.95,28.67,26.75,25.25,24.5,22.75,21.0
09171002,30.01,28.92,26.75,25.25,24.5,22.75,21.0
09171012,29.12,28.92,26.75,25.25,24.5,22.75,21.0
09171022,30.16,28.80,26.75,25.25,24.5,22.75,21.0
09171032,30.81,28.79,26.75,25.25,24.5,22.75,21.0
09171042,30.78,29.12,26.75,25.25,24.5,22.75,21.0
09171052,29.12,28.82,27.0,25.25,24.5,22.75,21.25
09171102,30.65,28.92,27.0,25.25,24.5,22.75,21.0
09171112,30.23,28.57,27.0,25.25,24.5,22.75,21.25
09171122,29.05,29.15,26.75,25.25,24.5,23.0,21.25
09171132,30.07,29.09,27.0,25.25,24.5,23.0,21.25
09171142,30.32,28.99,27.0,25.25,24.5,22.75,21.25
09171152,29.34,28.96,27.0,25.25,24.5,23.0,21.25
09171202,30.87,29.15,27.0,25.25,24.75,23.0,21.25
09171212,30.99,28.87,27.0,25.25,24.5,23.0,21.25
09171222,30.27,28.66,27.0,25.5,24.5,23.0,21.25
09171232,30.35,28.86,27.0,25.5,24.75,23.0,21.25
09171242,29.51,28.79,27.0,25.25,24.75,23.0,21.25
09171252,30.98,28.83,27.0,25.5,24.75,23.0,21.25
09171302,31.31,29.09,27.0,25.5,24.75,23.0,21.25
09171312,29.97,29.09,27.0,25.5,24.75,23.0,21.25
09171322,29.67,28.85,27.0,25.5,24.75,23.0,21.25
09171332,30.35,29.18,27.25,25.5,24.75,23.0,21.25
09171342,30.73,28.98,27.0,25.5,24.75,23.0,21.25
09171352,31.42,29.34,27.25,25.5,24.75,23.0,21.25
09171402,29.66,28.81,27.25,25.5,24.75,23.0,21.25
09171412,30.98,29.05,27.25,25.5,24.75,23.0,21.25
09171422,29.57,28.99,27.25,25.5,24.75,23.0,21.25
09171432,29.40,29.01,27.25,25.5,24.75,23.0,21.25
09171442,30.01,29.02,27.25,25.5,24.75,23.0,21.25
09171452,31.37,29.09,27.25,25.5,25.0,23.0,21.25
09171502,29.06,29.12,27.25,25.5,24.75,23.0,21.25
09171512,30.73,29.21,27.25,25.5,25.0,23.25,21.25
09171522,30.36,29.18,27.25,25.5,24.75,23.25,21.25
09171532,30.49,29.22,27.25,25.5,24.75,23.25,21.25
09171542,30.06,29.09,27.25,25.5,24.75,23.25,21.25
09171552,30.75,29.42,27.25,25.5,25.0,23.25,21.25
09171602,30.32,28.96,27.25,25.5,25.0,23.0,21.25
09171612,29.72,28.99,27.5,25.5,25.0,23.25,21.5
09171622,31.22,28.98,27.25,25.5,25.0,23.25,21.25
09171632,30.10,28.96,27.25,25.5,25.0,23.25,21.5
09171642,31.10,29.35,27.25,25.75,25.0,23.25,21.5
09171652,29.69,28.86,27.25,25.75,25.0,23.25,21.25
09171702,30.45,29.31,27.5,25.75,25.0,23.25,21.5
09171712,29.67,29.40,27.5,25.75,25.0,23.25,21.5
09171722,30.78,29.39,27.5,25.75,25.0,23.25,21.5
09171732,31.05,29.59,27.5,25.75,25.0,23.25,21.5
09171742,30.18,29.32,27.5,25.75,25.0,23.25,21.5
09171752,30.91,29.35,27.5,25.5,25.0,23.25,21.25
09171802,30.12,29.19,27.5,25.75,25.0,23.25,21.5
09171812,31.01,29.15,27.5,25.75,25.0,23.25,21.25
09171822,29.83,29.15,27.5,25.75,25.0,23.25,21.5
09171832,30.12,29.55,27.5,25.75,25.0,23.25,21.5
09171842,31.25,29.25,27.5,25.75,25.0,23.25,21.25
09171853,30.70,29.15,27.5,25.75,25.0,23.25,21.5
09171903,30.26,29.59,27.5,25.75,25.0,23.25,21.5
09171913,30.73,29.66,27.5,25.75,25.25,23.25,21.5
09171923,31.74,29.38,27.5,25.75,25.0,23.25,21.5
09171933,29.83,29.52,27.75,25.75,25.25,23.25,21.5
09171943,31.39,29.25,27.75,25.75,25.25,23.25,21.5
09171953,30.62,29.63,27.5,25.75,25.25,23.25,21.5
09172003,30.50,29.29,27.75,25.75,25.25,23.5,21.5
09172013,30.47,29.29,27.75,25.75,25.25,23.25,21.5
09172023,31.80,29.20,27.75,26.0,25.25,23.5,21.5
09172033,30.91,29.64,27.75,25.75,25.25,23.5,21.5
09172043,30.81,29.48,27.75,25.75,25.25,23.5,21.5
09172053,30.76,29.58,27.75,25.75,25.25,23.25,21.5
09172103,30.56,29.28,27.75,25.75,25.25,23.25,21.5
09172113,31.98,29.78,27.75,26.0,25.25,23.25,21.5
09172123,32.15,29.32,27.75,26.0,25.25,23.25,21.5
09172133,30.76,29.60,27.75,25.75,25.25,23.25,21.5
09172143,29.89,29.61,27.75,26.0,25.25,23.25,21.5
09172153,29.72,29.75,27.75,26.0,25.25,23.25,21.5
09172203,30.18,29.49,27.75,25.75,25.25,23.25,21.5
09172213,30.38,29.72,27.75,26.0,25.25,23.5,21.5
09172223,31.28,29.50,27.75,25.75,25.25,23.25,21.5
09172233,31.72,29.38,27.75,26.0,25.25,23.25,21.5
09172243,30.01,30.03,27.75,26.0,25.25,23.25,21.5
09172253,31.16,29.83,28.0,26.0,25.25,23.5,21.5
09172303,31.13,29.74,27.75,26.0,25.25,23.5,21.5
09172313,31.86,29.78,28.0,26.0,25.5,23.5,21.5
09172323,30.42,29.79,27.75,26.0,25.5,23.5,21.5
09172333,30.47,29.75,27.75,26.0,25.25,23.5,21.5
09172343,30.26,29.71,28.0,26.0,25.5,23.5,21.5
09172353,31.11,29.64,27.75,26.0,25.5,23.25,21.25
09172403,30.16,29.83,27.75,26.0,25.5,23.5,21.5
09172413,30.12,29.80,28.0,26.0,25.5,23.5,21.5
09172423,29.74,29.85,28.0,26.0,25.5,23.5,21.5
09172433,30.75,29.90,28.0,26.0,25.5,23.5,21.5
09172443,30.81,29.54,28.0,26.0,25.5,23.5,21.5
09172453,30.93,29.60,28.0,26.0,25.5,23.5,21.5
09172503,31.68,29.47,28.0,26.0,25.5,23.5,21.5
09172513,32.20,29.93,28.0,26.0,25.5,23.5,21.5
09172523,30.76,29.85,28.0,26.0,25.5,23.5,21.5
09172533,31.42,29.51,28.0,26.0,25.5,23.5,21.5
09172543,29.80,30.03,28.0,26.0,25.5,23.5,21.5
09172553,31.59,29.56,28.0,26.0,25.5,23.5,21.5
09172603,30.96,29.86,28.0,26.25,25.5,23.5,21.5
09172613,32.02,29.80,28.0,26.0,25.5,23.5,21.5
09172623,31.28,29.95,28.0,26.25,25.5,23.5,21.5
09172633,31.34,29.80,28.0,26.25,25.5,23.5,21.5
09172643,30.58,29.57,28.0,26.25,25.5,23.5,21.5
09172653,31.46,29.58,28.0,26.25,25.5,23.5,21.5
09172703,30.55,29.78,28.0,26.25,25.5,23.5,21.5
09172713,31.11,30.29,28.0,26.25,25.5,23.5,21.5
09172723,30.84,29.51,28.0,26.25,25.5,23.5,21.5
09172733,30.75,29.99,28.0,26.25,25.5,23.5,21.5
09172744,31.54,29.71,28.0,26.25,25.5,23.5,21.5
09172754,32.14,30.10,28.0,26.25,25.5,23.5,21.5
09172804,31.53,29.70,28.0,26.25,25.5,23.5,21.5
09172814,31.20,30.25,28.0,26.25,25.5,23.5,21.5
09172824,30.90,29.77,28.0,26.25,25.5,23.5,21.5
09172834,31.46,30.25,28.0,26.25,25.5,23.5,21.5
09172844,31.82,30.06,28.0,26.25,25.75,23.5,21.5
09172854,32.11,29.94,28.0,26.25,25.75,23.5,21.5
09172904,31.50,30.00,28.0,26.25,25.75,23.5,21.5
09172914,32.03,30.01,28.0,26.25,25.5,23.5,21.5
09172924,29.48,29.88,28.0,26.25,25.75,23.5,21.5
09172934,31.51,30.13,28.0,26.25,25.75,23.5,21.5
09172944,30.91,30.15,28.0,26.25,25.5,23.5,21.5
09172954,31.62,29.97,28.0,26.25,25.75,23.5,21.5
09173004,32.06,29.90,28.25,26.25,25.5,23.5,21.5
09173014,32.72,29.98,28.25,26.25,25.5,23.5,21.5
09173024,30.41,30.09,28.0,26.25,25.75,23.5,21.5
09173034,31.05,29.96,28.0,26.25,25.75,23.5,21.5
09173044,31.25,30.38,28.0,26.25,25.75,23.5,21.5
09173054,31.98,29.88,28.25,26.25,25.75,23.5,21.5
09173104,30.62,30.20,28.25,26.25,25.75,23.5,21.5
09173114,31.48,29.87,28.0,26.25,25.75,23.5,21.5
09173124,31.92,29.90,28.25,26.25,25.75,23.5,21.5
09173134,30.94,30.11,28.25,26.25,25.75,23.5,21.5
09173144,32.08,29.85,28.25,26.25,25.75,23.5,21.5
